GiftId,TripId
6363,1301
23113,1301
3277,1301
47081,1301
82045,1301
82608,1301
24691,1301
54845,1301
79670,1301
55827,1301
66420,1301
14033,1301
94508,1301
10384,1301
11199,1301
24874,1301
40898,1301
91613,1301
66753,1301
21571,1301
53423,1301
64788,1301
68457,1301
59956,1301
22038,1301
7330,1301
78000,1301
1279,1301
33144,1301
13119,1301
3312,1301
61564,1301
55284,1301
49619,1301
15045,1301
69192,1301
78199,1301
17591,1301
13897,1301
88416,1301
83769,1301
35029,1301
55181,1301
73539,1301
62889,1301
55848,1301
84667,1301
39962,1301
61250,1301
79720,1301
31779,1301
40259,1301
98843,1301
22112,1301
10863,1301
91060,1301
35781,1301
78771,1301
83901,1301
41615,1301
6489,1301
31414,1301
15230,1301
50991,1301
27415,1301
82760,1301
4858,1301
62852,1301
20242,1301
32572,1301
61623,1301
99755,1301
83622,1301
30274,1301
77144,1301
82672,1301
19562,1301
92345,1301
42899,1301
15289,1301
49407,1302
76422,1302
26831,1302
20780,1302
99360,1302
18392,1302
66982,1302
50608,1302
92808,1302
93186,1302
4462,1302
25736,1302
13732,1302
71296,1302
24116,1302
5957,1302
48494,1302
21864,1302
70851,1302
86931,1302
75625,1302
57892,1302
15379,1302
84243,1302
11490,1302
83434,1302
85863,1302
4180,1302
2007,1302
45302,1302
73391,1302
80296,1302
24534,1302
83668,1302
28293,1302
79916,1302
64865,1302
15837,1302
5780,1302
49984,1302
11957,1302
98439,1302
96960,1302
75613,1302
19428,1302
73942,1302
49351,1302
64851,1302
57964,1302
64968,1302
78301,1302
38250,1302
72645,1302
25929,1302
86021,1302
43993,1302
63222,1302
95701,1302
14978,1302
80663,1302
57096,1302
38608,1302
90243,1302
32671,1302
96093,1302
26626,1302
39605,1302
75196,1302
54858,1302
5363,1302
42267,1302
77174,1302
19450,1302
95289,1302
94814,1302
968,1302
82847,1302
41330,1302
53123,1302
80632,1302
99982,1302
25661,1302
32654,1303
47592,1303
33525,1303
89165,1303
71931,1303
40618,1303
32928,1303
98697,1303
25398,1303
35234,1303
41762,1303
61741,1303
79562,1303
66414,1303
97344,1303
40726,1303
51146,1303
35550,1303
13926,1303
92987,1303
51730,1303
80853,1303
27459,1303
22442,1303
8128,1303
93274,1303
3790,1303
69567,1303
26551,1303
2674,1303
67358,1303
3235,1303
62558,1303
33650,1303
40442,1303
91683,1303
47781,1303
55478,1303
29370,1303
66642,1303
72371,1303
33207,1303
66045,1303
20973,1303
71129,1303
4485,1303
38776,1303
16614,1303
95329,1303
47587,1303
86770,1303
14987,1303
98611,1303
29785,1303
71032,1303
44243,1303
907,1303
65475,1303
790,1303
28551,1303
32423,1303
59941,1303
25235,1303
65781,1303
12546,1303
47068,1303
29840,1303
85547,1303
6308,1304
22259,1304
51976,1304
55090,1304
10001,1304
19638,1304
38429,1304
2031,1304
71538,1304
14557,1304
62177,1304
74800,1304
78982,1304
7581,1304
74080,1304
86562,1304
42391,1304
91624,1304
98983,1304
56689,1304
11971,1304
47477,1304
77201,1304
58284,1304
89399,1304
86065,1304
62034,1304
24080,1304
41602,1304
60419,1304
36512,1304
76486,1304
83854,1304
61699,1304
20897,1304
24921,1304
20709,1304
25983,1304
11689,1304
10289,1304
14649,1304
15106,1304
90442,1304
96863,1304
3891,1304
5798,1304
93281,1304
4187,1304
79147,1304
51642,1304
69940,1304
95396,1304
1242,1304
41827,1304
72231,1304
28506,1304
65524,1304
95049,1304
77147,1304
57552,1304
92006,1304
26124,1304
38008,1304
83383,1304
27121,1304
